Period type,Country/Region,Year,Main Groups,Index Numbers
Annual,Semenanjung Malaysia,2020,Recreation Services and Culture,112.7
Annual,Semenanjung Malaysia,2020,Education,121.7
Annual,Semenanjung Malaysia,2020,Restaurants and Hotels,132.5
Annual,Semenanjung Malaysia,2020,Miscellaneous Goods and Services,116.3
Annual,Sabah & W.P. Labuan,2005,Total,86.2
Annual,Sabah & W.P. Labuan,2005,Food and Non- Alcoholic Beverages,79.6
Annual,Sabah & W.P. Labuan,2005,Alcoholic Beverages and Tobacco,73.1
Annual,Sabah & W.P. Labuan,2005,Clothing and Footware,107.2
Annual,Sabah & W.P. Labuan,2005,"Housing, Water, Electricity, Gas and Other Fuels",91.8
Annual,Sabah & W.P. Labuan,2005,"Furnishings, Households Equipment and Routine Household Maintenance",93.2
Annual,Sabah & W.P. Labuan,2005,Health,89.4
Annual,Sabah & W.P. Labuan,2005,Transport,83.0
Annual,Sabah & W.P. Labuan,2005,Communication,103.8
Annual,Sabah & W.P. Labuan,2005,Recreation Services and Culture,95.0
Annual,Sabah & W.P. Labuan,2005,Education,91.4
Annual,Sabah & W.P. Labuan,2005,Restaurants and Hotels,83.0
Annual,Sabah & W.P. Labuan,2005,Miscellaneous Goods and Services,91.5
Annual,Sabah & W.P. Labuan,2006,Total,89.4
Annual,Sabah & W.P. Labuan,2006,Food and Non- Alcoholic Beverages,82.6
Annual,Sabah & W.P. Labuan,2006,Alcoholic Beverages and Tobacco,77.9
Annual,Sabah & W.P. Labuan,2006,Clothing and Footware,105.4
Annual,Sabah & W.P. Labuan,2006,"Housing, Water, Electricity, Gas and Other Fuels",93.7
Annual,Sabah & W.P. Labuan,2006,"Furnishings, Households Equipment and Routine Household Maintenance",93.5
Annual,Sabah & W.P. Labuan,2006,Health,90.5
Annual,Sabah & W.P. Labuan,2006,Transport,93.7
Annual,Sabah & W.P. Labuan,2006,Communication,102.3
Annual,Sabah & W.P. Labuan,2006,Recreation Services and Culture,94.6
Annual,Sabah & W.P. Labuan,2006,Education,93.2
Annual,Sabah & W.P. Labuan,2006,Restaurants and Hotels,86.9
Annual,Sabah & W.P. Labuan,2006,Miscellaneous Goods and Services,92.8
Annual,Sabah & W.P. Labuan,2007,Total,91.3
Annual,Sabah & W.P. Labuan,2007,Food and Non- Alcoholic Beverages,85.4
Annual,Sabah & W.P. Labuan,2007,Alcoholic Beverages and Tobacco,83.9
Annual,Sabah & W.P. Labuan,2007,Clothing and Footware,104.3
Annual,Sabah & W.P. Labuan,2007,"Housing, Water, Electricity, Gas and Other Fuels",95.0
Annual,Sabah & W.P. Labuan,2007,"Furnishings, Households Equipment and Routine Household Maintenance",93.9
Annual,Sabah & W.P. Labuan,2007,Health,92.1
Annual,Sabah & W.P. Labuan,2007,Transport,95.4
Annual,Sabah & W.P. Labuan,2007,Communication,101.2
Annual,Sabah & W.P. Labuan,2007,Recreation Services and Culture,95.3
Annual,Sabah & W.P. Labuan,2007,Education,93.7
Annual,Sabah & W.P. Labuan,2007,Restaurants and Hotels,90.9
Annual,Sabah & W.P. Labuan,2007,Miscellaneous Goods and Services,93.6
Annual,Sabah & W.P. Labuan,2008,Total,96.8
Annual,Sabah & W.P. Labuan,2008,Food and Non- Alcoholic Beverages,93.7
Annual,Sabah & W.P. Labuan,2008,Alcoholic Beverages and Tobacco,90.2
Annual,Sabah & W.P. Labuan,2008,Clothing and Footware,103.3
Annual,Sabah & W.P. Labuan,2008,"Housing, Water, Electricity, Gas and Other Fuels",97.5
Annual,Sabah & W.P. Labuan,2008,"Furnishings, Households Equipment and Routine Household Maintenance",96.8
Annual,Sabah & W.P. Labuan,2008,Health,94.9
Annual,Sabah & W.P. Labuan,2008,Transport,104.4
Annual,Sabah & W.P. Labuan,2008,Communication,100.4
Annual,Sabah & W.P. Labuan,2008,Recreation Services and Culture,96.5
Annual,Sabah & W.P. Labuan,2008,Education,94.5
Annual,Sabah & W.P. Labuan,2008,Restaurants and Hotels,97.2
Annual,Sabah & W.P. Labuan,2008,Miscellaneous Goods and Services,96.0
Annual,Sabah & W.P. Labuan,2009,Total,98.4
Annual,Sabah & W.P. Labuan,2009,Food and Non- Alcoholic Beverages,98.2
Annual,Sabah & W.P. Labuan,2009,Alcoholic Beverages and Tobacco,95.9
Annual,Sabah & W.P. Labuan,2009,Clothing and Footware,101.3
Annual,Sabah & W.P. Labuan,2009,"Housing, Water, Electricity, Gas and Other Fuels",98.8
Annual,Sabah & W.P. Labuan,2009,"Furnishings, Households Equipment and Routine Household Maintenance",99.8
Annual,Sabah & W.P. Labuan,2009,Health,97.6
Annual,Sabah & W.P. Labuan,2009,Transport,97.7
Annual,Sabah & W.P. Labuan,2009,Communication,99.9
Annual,Sabah & W.P. Labuan,2009,Recreation Services and Culture,98.0
Annual,Sabah & W.P. Labuan,2009,Education,97.6
Annual,Sabah & W.P. Labuan,2009,Restaurants and Hotels,99.1
Annual,Sabah & W.P. Labuan,2009,Miscellaneous Goods and Services,98.3
Annual,Sabah & W.P. Labuan,2010,Total,100.0
Annual,Sabah & W.P. Labuan,2010,Food and Non- Alcoholic Beverages,100.0
Annual,Sabah & W.P. Labuan,2010,Alcoholic Beverages and Tobacco,100.0
Annual,Sabah & W.P. Labuan,2010,Clothing and Footware,100.0
Annual,Sabah & W.P. Labuan,2010,"Housing, Water, Electricity, Gas and Other Fuels",100.0
Annual,Sabah & W.P. Labuan,2010,"Furnishings, Households Equipment and Routine Household Maintenance",100.0
Annual,Sabah & W.P. Labuan,2010,Health,100.0
Annual,Sabah & W.P. Labuan,2010,Transport,100.0
Annual,Sabah & W.P. Labuan,2010,Communication,100.0
Annual,Sabah & W.P. Labuan,2010,Recreation Services and Culture,100.0
Annual,Sabah & W.P. Labuan,2010,Education,100.0
Annual,Sabah & W.P. Labuan,2010,Restaurants and Hotels,100.0
Annual,Sabah & W.P. Labuan,2010,Miscellaneous Goods and Services,100.0
Annual,Sabah & W.P. Labuan,2011,Total,102.9
Annual,Sabah & W.P. Labuan,2011,Food and Non- Alcoholic Beverages,104.7
Annual,Sabah & W.P. Labuan,2011,Alcoholic Beverages and Tobacco,104.8
Annual,Sabah & W.P. Labuan,2011,Clothing and Footware,99.6
Annual,Sabah & W.P. Labuan,2011,"Housing, Water, Electricity, Gas and Other Fuels",101.4
Annual,Sabah & W.P. Labuan,2011,"Furnishings, Households Equipment and Routine Household Maintenance",102.0
Annual,Sabah & W.P. Labuan,2011,Health,103.7
Annual,Sabah & W.P. Labuan,2011,Transport,103.2
Annual,Sabah & W.P. Labuan,2011,Communication,100.1
Annual,Sabah & W.P. Labuan,2011,Recreation Services and Culture,103.9
Annual,Sabah & W.P. Labuan,2011,Education,101.6
Annual,Sabah & W.P. Labuan,2011,Restaurants and Hotels,105.4
Annual,Sabah & W.P. Labuan,2011,Miscellaneous Goods and Services,102.1
Annual,Sabah & W.P. Labuan,2012,Total,104.7
Annual,Sabah & W.P. Labuan,2012,Food and Non- Alcoholic Beverages,107.5
Annual,Sabah & W.P. Labuan,2012,Alcoholic Beverages and Tobacco,105.5
Annual,Sabah & W.P. Labuan,2012,Clothing and Footware,98.6
Annual,Sabah & W.P. Labuan,2012,"Housing, Water, Electricity, Gas and Other Fuels",102.9
Annual,Sabah & W.P. Labuan,2012,"Furnishings, Households Equipment and Routine Household Maintenance",105.9
Annual,Sabah & W.P. Labuan,2012,Health,106.6
Annual,Sabah & W.P. Labuan,2012,Transport,103.9
Annual,Sabah & W.P. Labuan,2012,Communication,99.8
Annual,Sabah & W.P. Labuan,2012,Recreation Services and Culture,106.7
Annual,Sabah & W.P. Labuan,2012,Education,103.3
Annual,Sabah & W.P. Labuan,2012,Restaurants and Hotels,108.8
Annual,Sabah & W.P. Labuan,2012,Miscellaneous Goods and Services,104.2
Annual,Sabah & W.P. Labuan,2013,Total,107.0
Annual,Sabah & W.P. Labuan,2013,Food and Non- Alcoholic Beverages,110.7
Annual,Sabah & W.P. Labuan,2013,Alcoholic Beverages and Tobacco,112.3
Annual,Sabah & W.P. Labuan,2013,Clothing and Footware,97.9
Annual,Sabah & W.P. Labuan,2013,"Housing, Water, Electricity, Gas and Other Fuels",104.1
Annual,Sabah & W.P. Labuan,2013,"Furnishings, Households Equipment and Routine Household Maintenance",108.5
Annual,Sabah & W.P. Labuan,2013,Health,111.7
Annual,Sabah & W.P. Labuan,2013,Transport,106.5
Annual,Sabah & W.P. Labuan,2013,Communication,99.4
Annual,Sabah & W.P. Labuan,2013,Recreation Services and Culture,106.9
Annual,Sabah & W.P. Labuan,2013,Education,105.2
Annual,Sabah & W.P. Labuan,2013,Restaurants and Hotels,113.7
Annual,Sabah & W.P. Labuan,2013,Miscellaneous Goods and Services,106.9
Annual,Sabah & W.P. Labuan,2014,Total,109.1
Annual,Sabah & W.P. Labuan,2014,Food and Non- Alcoholic Beverages,112.4
Annual,Sabah & W.P. Labuan,2014,Alcoholic Beverages and Tobacco,126.0
Annual,Sabah & W.P. Labuan,2014,Clothing and Footware,96.9
Annual,Sabah & W.P. Labuan,2014,"Housing, Water, Electricity, Gas and Other Fuels",106.5
Annual,Sabah & W.P. Labuan,2014,"Furnishings, Households Equipment and Routine Household Maintenance",108.7
Annual,Sabah & W.P. Labuan,2014,Health,114.5
Annual,Sabah & W.P. Labuan,2014,Transport,110.0
Annual,Sabah & W.P. Labuan,2014,Communication,99.0
Annual,Sabah & W.P. Labuan,2014,Recreation Services and Culture,109.9
Annual,Sabah & W.P. Labuan,2014,Education,107.0
Annual,Sabah & W.P. Labuan,2014,Restaurants and Hotels,118.9
Annual,Sabah & W.P. Labuan,2014,Miscellaneous Goods and Services,107.5
Annual,Sabah & W.P. Labuan,2015,Total,110.0
Annual,Sabah & W.P. Labuan,2015,Food and Non- Alcoholic Beverages,114.6
Annual,Sabah & W.P. Labuan,2015,Alcoholic Beverages and Tobacco,143.7
Annual,Sabah & W.P. Labuan,2015,Clothing and Footware,97.3
Annual,Sabah & W.P. Labuan,2015,"Housing, Water, Electricity, Gas and Other Fuels",105.9
Annual,Sabah & W.P. Labuan,2015,"Furnishings, Households Equipment and Routine Household Maintenance",110.6
Annual,Sabah & W.P. Labuan,2015,Health,120.0
Annual,Sabah & W.P. Labuan,2015,Transport,105.6
Annual,Sabah & W.P. Labuan,2015,Communication,101.9
Annual,Sabah & W.P. Labuan,2015,Recreation Services and Culture,111.6
Annual,Sabah & W.P. Labuan,2015,Education,108.5
Annual,Sabah & W.P. Labuan,2015,Restaurants and Hotels,125.6
Annual,Sabah & W.P. Labuan,2015,Miscellaneous Goods and Services,111.9
Annual,Sabah & W.P. Labuan,2016,Total,110.8
Annual,Sabah & W.P. Labuan,2016,Food and Non- Alcoholic Beverages,116.3
Annual,Sabah & W.P. Labuan,2016,Alcoholic Beverages and Tobacco,169.3
Annual,Sabah & W.P. Labuan,2016,Clothing and Footware,97.2
Annual,Sabah & W.P. Labuan,2016,"Housing, Water, Electricity, Gas and Other Fuels",107.2
Annual,Sabah & W.P. Labuan,2016,"Furnishings, Households Equipment and Routine Household Maintenance",111.2
Annual,Sabah & W.P. Labuan,2016,Health,122.8
Annual,Sabah & W.P. Labuan,2016,Transport,100.0
Annual,Sabah & W.P. Labuan,2016,Communication,99.9
Annual,Sabah & W.P. Labuan,2016,Recreation Services and Culture,114.6
Annual,Sabah & W.P. Labuan,2016,Education,109.5
Annual,Sabah & W.P. Labuan,2016,Restaurants and Hotels,129.0
Annual,Sabah & W.P. Labuan,2016,Miscellaneous Goods and Services,113.6
Annual,Sabah & W.P. Labuan,2017,Total,114.1
Annual,Sabah & W.P. Labuan,2017,Food and Non- Alcoholic Beverages,120.5
Annual,Sabah & W.P. Labuan,2017,Alcoholic Beverages and Tobacco,169.7
Annual,Sabah & W.P. Labuan,2017,Clothing and Footware,96.3
Annual,Sabah & W.P. Labuan,2017,"Housing, Water, Electricity, Gas and Other Fuels",108.3
Annual,Sabah & W.P. Labuan,2017,"Furnishings, Households Equipment and Routine Household Maintenance",112.4
Annual,Sabah & W.P. Labuan,2017,Health,124.9
Annual,Sabah & W.P. Labuan,2017,Transport,111.7
Annual,Sabah & W.P. Labuan,2017,Communication,99.7
Annual,Sabah & W.P. Labuan,2017,Recreation Services and Culture,116.9
Annual,Sabah & W.P. Labuan,2017,Education,110.8
Annual,Sabah & W.P. Labuan,2017,Restaurants and Hotels,130.7
Annual,Sabah & W.P. Labuan,2017,Miscellaneous Goods and Services,114.3
Annual,Sabah & W.P. Labuan,2018,Total,114.9
Annual,Sabah & W.P. Labuan,2018,Food and Non- Alcoholic Beverages,122.4
Annual,Sabah & W.P. Labuan,2018,Alcoholic Beverages and Tobacco,168.8
Annual,Sabah & W.P. Labuan,2018,Clothing and Footware,94.1
Annual,Sabah & W.P. Labuan,2018,"Housing, Water, Electricity, Gas and Other Fuels",109.5
Annual,Sabah & W.P. Labuan,2018,"Furnishings, Households Equipment and Routine Household Maintenance",112.3
Annual,Sabah & W.P. Labuan,2018,Health,126.3
Annual,Sabah & W.P. Labuan,2018,Transport,113.5
Annual,Sabah & W.P. Labuan,2018,Communication,98.7
Annual,Sabah & W.P. Labuan,2018,Recreation Services and Culture,116.0
Annual,Sabah & W.P. Labuan,2018,Education,112.1
Annual,Sabah & W.P. Labuan,2018,Restaurants and Hotels,132.6
Annual,Sabah & W.P. Labuan,2018,Miscellaneous Goods and Services,111.6
Annual,Sabah & W.P. Labuan,2019,Total,115.1
Annual,Sabah & W.P. Labuan,2019,Food and Non- Alcoholic Beverages,123.0
Annual,Sabah & W.P. Labuan,2019,Alcoholic Beverages and Tobacco,170.8
Annual,Sabah & W.P. Labuan,2019,Clothing and Footware,92.3
Annual,Sabah & W.P. Labuan,2019,"Housing, Water, Electricity, Gas and Other Fuels",110.8
Annual,Sabah & W.P. Labuan,2019,"Furnishings, Households Equipment and Routine Household Maintenance",112.7
Annual,Sabah & W.P. Labuan,2019,Health,127.2
Annual,Sabah & W.P. Labuan,2019,Transport,109.9
Annual,Sabah & W.P. Labuan,2019,Communication,98.8
Annual,Sabah & W.P. Labuan,2019,Recreation Services and Culture,116.6
Annual,Sabah & W.P. Labuan,2019,Education,113.1
Annual,Sabah & W.P. Labuan,2019,Restaurants and Hotels,134.2
Annual,Sabah & W.P. Labuan,2019,Miscellaneous Goods and Services,111.9
Annual,Sabah & W.P. Labuan,2020,Total,112.9
Annual,Sabah & W.P. Labuan,2020,Food and Non- Alcoholic Beverages,123.3
Annual,Sabah & W.P. Labuan,2020,Alcoholic Beverages and Tobacco,170.9
Annual,Sabah & W.P. Labuan,2020,Clothing and Footware,91.4
Annual,Sabah & W.P. Labuan,2020,"Housing, Water, Electricity, Gas and Other Fuels",108.4
Annual,Sabah & W.P. Labuan,2020,"Furnishings, Households Equipment and Routine Household Maintenance",112.3
Annual,Sabah & W.P. Labuan,2020,Health,128.6
Annual,Sabah & W.P. Labuan,2020,Transport,97.9
Annual,Sabah & W.P. Labuan,2020,Communication,99.2
Annual,Sabah & W.P. Labuan,2020,Recreation Services and Culture,116.5
Annual,Sabah & W.P. Labuan,2020,Education,113.5
Annual,Sabah & W.P. Labuan,2020,Restaurants and Hotels,134.4
Annual,Sabah & W.P. Labuan,2020,Miscellaneous Goods and Services,113.6
Annual,Sarawak,2005,Total,87.6
Annual,Sarawak,2005,Food and Non- Alcoholic Beverages,80.3
Annual,Sarawak,2005,Alcoholic Beverages and Tobacco,77.8
Annual,Sarawak,2005,Clothing and Footware,109.3
Annual,Sarawak,2005,"Housing, Water, Electricity, Gas and Other Fuels",95.7
Annual,Sarawak,2005,"Furnishings, Households Equipment and Routine Household Maintenance",93.6
Annual,Sarawak,2005,Health,91.6
Annual,Sarawak,2005,Transport,86.2
Annual,Sarawak,2005,Communication,104.5
Annual,Sarawak,2005,Recreation Services and Culture,95.1
Annual,Sarawak,2005,Education,91.2
Annual,Sarawak,2005,Restaurants and Hotels,82.7
Annual,Sarawak,2005,Miscellaneous Goods and Services,87.2
Annual,Sarawak,2006,Total,91.1
Annual,Sarawak,2006,Food and Non- Alcoholic Beverages,83.1
Annual,Sarawak,2006,Alcoholic Beverages and Tobacco,82.1
Annual,Sarawak,2006,Clothing and Footware,108.7
Annual,Sarawak,2006,"Housing, Water, Electricity, Gas and Other Fuels",96.9
Annual,Sarawak,2006,"Furnishings, Households Equipment and Routine Household Maintenance",94.1
Annual,Sarawak,2006,Health,92.5
Annual,Sarawak,2006,Transport,97.1
Annual,Sarawak,2006,Communication,103.2
Annual,Sarawak,2006,Recreation Services and Culture,95.6
Annual,Sarawak,2006,Education,92.0
Annual,Sarawak,2006,Restaurants and Hotels,85.9
Annual,Sarawak,2006,Miscellaneous Goods and Services,89.2
Annual,Sarawak,2007,Total,92.7
Annual,Sarawak,2007,Food and Non- Alcoholic Beverages,85.5
Annual,Sarawak,2007,Alcoholic Beverages and Tobacco,87.2
Annual,Sarawak,2007,Clothing and Footware,107.8
Annual,Sarawak,2007,"Housing, Water, Electricity, Gas and Other Fuels",97.8
Annual,Sarawak,2007,"Furnishings, Households Equipment and Routine Household Maintenance",94.9
Annual,Sarawak,2007,Health,93.4
Annual,Sarawak,2007,Transport,98.6
Annual,Sarawak,2007,Communication,102.0
Annual,Sarawak,2007,Recreation Services and Culture,95.9
Annual,Sarawak,2007,Education,93.8
Annual,Sarawak,2007,Restaurants and Hotels,89.2
Annual,Sarawak,2007,Miscellaneous Goods and Services,89.9
Annual,Sarawak,2008,Total,98.3
Annual,Sarawak,2008,Food and Non- Alcoholic Beverages,93.7
Annual,Sarawak,2008,Alcoholic Beverages and Tobacco,92.4
Annual,Sarawak,2008,Clothing and Footware,106.8
Annual,Sarawak,2008,"Housing, Water, Electricity, Gas and Other Fuels",98.6
Annual,Sarawak,2008,"Furnishings, Households Equipment and Routine Household Maintenance",97.2
Annual,Sarawak,2008,Health,95.8
Annual,Sarawak,2008,Transport,108.4
Annual,Sarawak,2008,Communication,101.0
Annual,Sarawak,2008,Recreation Services and Culture,97.0
Annual,Sarawak,2008,Education,96.1
Annual,Sarawak,2008,Restaurants and Hotels,97.3
Annual,Sarawak,2008,Miscellaneous Goods and Services,92.9
Annual,Sarawak,2009,Total,98.5
Annual,Sarawak,2009,Food and Non- Alcoholic Beverages,98.2
Annual,Sarawak,2009,Alcoholic Beverages and Tobacco,96.9
Annual,Sarawak,2009,Clothing and Footware,103.6
Annual,Sarawak,2009,"Housing, Water, Electricity, Gas and Other Fuels",98.8
Annual,Sarawak,2009,"Furnishings, Households Equipment and Routine Household Maintenance",99.5
Annual,Sarawak,2009,Health,97.4
Annual,Sarawak,2009,Transport,98.4
Annual,Sarawak,2009,Communication,100.4
Annual,Sarawak,2009,Recreation Services and Culture,98.5
Annual,Sarawak,2009,Education,98.5
Annual,Sarawak,2009,Restaurants and Hotels,99.3
Annual,Sarawak,2009,Miscellaneous Goods and Services,97.5
Annual,Sarawak,2010,Total,100.0
Annual,Sarawak,2010,Food and Non- Alcoholic Beverages,100.0
Annual,Sarawak,2010,Alcoholic Beverages and Tobacco,100.0
Annual,Sarawak,2010,Clothing and Footware,100.0
Annual,Sarawak,2010,"Housing, Water, Electricity, Gas and Other Fuels",100.0
Annual,Sarawak,2010,"Furnishings, Households Equipment and Routine Household Maintenance",100.0
Annual,Sarawak,2010,Health,100.0
Annual,Sarawak,2010,Transport,100.0
Annual,Sarawak,2010,Communication,100.0
Annual,Sarawak,2010,Recreation Services and Culture,100.0
Annual,Sarawak,2010,Education,100.0
Annual,Sarawak,2010,Restaurants and Hotels,100.0
Annual,Sarawak,2010,Miscellaneous Goods and Services,100.0
Annual,Sarawak,2011,Total,102.6
Annual,Sarawak,2011,Food and Non- Alcoholic Beverages,103.3
Annual,Sarawak,2011,Alcoholic Beverages and Tobacco,103.7
Annual,Sarawak,2011,Clothing and Footware,99.1
Annual,Sarawak,2011,"Housing, Water, Electricity, Gas and Other Fuels",102.3
Annual,Sarawak,2011,"Furnishings, Households Equipment and Routine Household Maintenance",100.9
Annual,Sarawak,2011,Health,103.3
Annual,Sarawak,2011,Transport,104.4
Annual,Sarawak,2011,Communication,99.9
Annual,Sarawak,2011,Recreation Services and Culture,100.8
Annual,Sarawak,2011,Education,101.6
Annual,Sarawak,2011,Restaurants and Hotels,105.0
Annual,Sarawak,2011,Miscellaneous Goods and Services,101.4
Annual,Sarawak,2012,Total,104.4
Annual,Sarawak,2012,Food and Non- Alcoholic Beverages,106.8
Annual,Sarawak,2012,Alcoholic Beverages and Tobacco,104.1
Annual,Sarawak,2012,Clothing and Footware,98.0
Annual,Sarawak,2012,"Housing, Water, Electricity, Gas and Other Fuels",103.4
Annual,Sarawak,2012,"Furnishings, Households Equipment and Routine Household Maintenance",102.0
Annual,Sarawak,2012,Health,105.6
Annual,Sarawak,2012,Transport,105.3
Annual,Sarawak,2012,Communication,99.2
Annual,Sarawak,2012,Recreation Services and Culture,100.3
Annual,Sarawak,2012,Education,102.2
Annual,Sarawak,2012,Restaurants and Hotels,107.8
Annual,Sarawak,2012,Miscellaneous Goods and Services,103.1
Annual,Sarawak,2013,Total,106.4
Annual,Sarawak,2013,Food and Non- Alcoholic Beverages,110.0
Annual,Sarawak,2013,Alcoholic Beverages and Tobacco,108.6
Annual,Sarawak,2013,Clothing and Footware,98.0
Annual,Sarawak,2013,"Housing, Water, Electricity, Gas and Other Fuels",105.3
Annual,Sarawak,2013,"Furnishings, Households Equipment and Routine Household Maintenance",102.0
Annual,Sarawak,2013,Health,106.5
Annual,Sarawak,2013,Transport,107.8
Annual,Sarawak,2013,Communication,98.3
Annual,Sarawak,2013,Recreation Services and Culture,99.9
Annual,Sarawak,2013,Education,104.0
Annual,Sarawak,2013,Restaurants and Hotels,110.7
Annual,Sarawak,2013,Miscellaneous Goods and Services,103.2
Annual,Sarawak,2014,Total,109.4
Annual,Sarawak,2014,Food and Non- Alcoholic Beverages,113.8
Annual,Sarawak,2014,Alcoholic Beverages and Tobacco,117.9
Annual,Sarawak,2014,Clothing and Footware,97.2
Annual,Sarawak,2014,"Housing, Water, Electricity, Gas and Other Fuels",107.6
Annual,Sarawak,2014,"Furnishings, Households Equipment and Routine Household Maintenance",102.5
Annual,Sarawak,2014,Health,112.3
Annual,Sarawak,2014,Transport,113.7
Annual,Sarawak,2014,Communication,97.6
Annual,Sarawak,2014,Recreation Services and Culture,101.3
Annual,Sarawak,2014,Education,104.8
Annual,Sarawak,2014,Restaurants and Hotels,113.7
Annual,Sarawak,2014,Miscellaneous Goods and Services,104.3
Annual,Sarawak,2015,Total,110.9
Annual,Sarawak,2015,Food and Non- Alcoholic Beverages,117.7
Annual,Sarawak,2015,Alcoholic Beverages and Tobacco,130.8
Annual,Sarawak,2015,Clothing and Footware,97.6
Annual,Sarawak,2015,"Housing, Water, Electricity, Gas and Other Fuels",105.8
Annual,Sarawak,2015,"Furnishings, Households Equipment and Routine Household Maintenance",104.5
Annual,Sarawak,2015,Health,117.3
Annual,Sarawak,2015,Transport,110.9
Annual,Sarawak,2015,Communication,99.6
Annual,Sarawak,2015,Recreation Services and Culture,102.6
Annual,Sarawak,2015,Education,106.2
Annual,Sarawak,2015,Restaurants and Hotels,116.9
Annual,Sarawak,2015,Miscellaneous Goods and Services,108.8
Annual,Sarawak,2016,Total,112.6
Annual,Sarawak,2016,Food and Non- Alcoholic Beverages,121.3
Annual,Sarawak,2016,Alcoholic Beverages and Tobacco,148.7
Annual,Sarawak,2016,Clothing and Footware,96.6
Annual,Sarawak,2016,"Housing, Water, Electricity, Gas and Other Fuels",108.4
Annual,Sarawak,2016,"Furnishings, Households Equipment and Routine Household Maintenance",106.0
Annual,Sarawak,2016,Health,120.1
Annual,Sarawak,2016,Transport,104.5
Annual,Sarawak,2016,Communication,97.0
Annual,Sarawak,2016,Recreation Services and Culture,104.1
Annual,Sarawak,2016,Education,108.2
Annual,Sarawak,2016,Restaurants and Hotels,119.7
Annual,Sarawak,2016,Miscellaneous Goods and Services,112.1
Annual,Sarawak,2017,Total,116.0
Annual,Sarawak,2017,Food and Non- Alcoholic Beverages,124.4
Annual,Sarawak,2017,Alcoholic Beverages and Tobacco,148.5
Annual,Sarawak,2017,Clothing and Footware,95.4
Annual,Sarawak,2017,"Housing, Water, Electricity, Gas and Other Fuels",109.3
Annual,Sarawak,2017,"Furnishings, Households Equipment and Routine Household Maintenance",108.3
Annual,Sarawak,2017,Health,122.9
Annual,Sarawak,2017,Transport,120.4
Annual,Sarawak,2017,Communication,96.4
Annual,Sarawak,2017,Recreation Services and Culture,104.7
Annual,Sarawak,2017,Education,109.4
Annual,Sarawak,2017,Restaurants and Hotels,122.1
Annual,Sarawak,2017,Miscellaneous Goods and Services,113.9
Annual,Sarawak,2018,Total,116.7
Annual,Sarawak,2018,Food and Non- Alcoholic Beverages,126.4
Annual,Sarawak,2018,Alcoholic Beverages and Tobacco,145.7
Annual,Sarawak,2018,Clothing and Footware,93.3
Annual,Sarawak,2018,"Housing, Water, Electricity, Gas and Other Fuels",110.2
Annual,Sarawak,2018,"Furnishings, Households Equipment and Routine Household Maintenance",107.3
Annual,Sarawak,2018,Health,125.5
Annual,Sarawak,2018,Transport,122.6
Annual,Sarawak,2018,Communication,94.9
Annual,Sarawak,2018,Recreation Services and Culture,104.6
Annual,Sarawak,2018,Education,110.7
Annual,Sarawak,2018,Restaurants and Hotels,124.1
Annual,Sarawak,2018,Miscellaneous Goods and Services,111.8
Annual,Sarawak,2019,Total,116.8
Annual,Sarawak,2019,Food and Non- Alcoholic Beverages,127.7
Annual,Sarawak,2019,Alcoholic Beverages and Tobacco,146.6
Annual,Sarawak,2019,Clothing and Footware,91.0
Annual,Sarawak,2019,"Housing, Water, Electricity, Gas and Other Fuels",111.2
Annual,Sarawak,2019,"Furnishings, Households Equipment and Routine Household Maintenance",108.1
Annual,Sarawak,2019,Health,127.1
Annual,Sarawak,2019,Transport,117.6
Annual,Sarawak,2019,Communication,95.3
Annual,Sarawak,2019,Recreation Services and Culture,104.9
Annual,Sarawak,2019,Education,111.3
Annual,Sarawak,2019,Restaurants and Hotels,126.7
Annual,Sarawak,2019,Miscellaneous Goods and Services,111.4
Annual,Sarawak,2020,Total,114.7
Annual,Sarawak,2020,Food and Non- Alcoholic Beverages,128.5
Annual,Sarawak,2020,Alcoholic Beverages and Tobacco,146.9
Annual,Sarawak,2020,Clothing and Footware,90.2
Annual,Sarawak,2020,"Housing, Water, Electricity, Gas and Other Fuels",109.2
Annual,Sarawak,2020,"Furnishings, Households Equipment and Routine Household Maintenance",107.9
Annual,Sarawak,2020,Health,128.9
Annual,Sarawak,2020,Transport,101.6
Annual,Sarawak,2020,Communication,95.9
Annual,Sarawak,2020,Recreation Services and Culture,104.4
Annual,Sarawak,2020,Education,114.4
Annual,Sarawak,2020,Restaurants and Hotels,127.3
Annual,Sarawak,2020,Miscellaneous Goods and Services,114.2
